Occupation ID,Occupation,Sex ID,Sex,Age Range ID,Age Range,Quarter ID,Quarter,Number of Records
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,2,25 to 34 years,20191,2019-Q1,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,2,25 to 34 years,20193,2019-Q3,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,3,35 to 44 years,20194,2019-Q4,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,3,35 to 44 years,20201,2020-Q1,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,3,35 to 44 years,20204,2020-Q4,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20191,2019-Q1,4
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20192,2019-Q2,3
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20193,2019-Q3,2
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20194,2019-Q4,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20201,2020-Q1,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20203,2020-Q3,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,1,Hombre,4,45 to 54 years,20204,2020-Q4,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,2,Mujer,1,15 to 24 years,20191,2019-Q1,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,2,Mujer,2,25 to 34 years,20204,2020-Q4,1
1111,Altas Autoridades Gubernamentales y Jurisdiccionales,2,Mujer,4,45 to 54 years,20203,2020-Q3,1
1112,Legisladores,1,Hombre,2,25 to 34 years,20192,2019-Q2,1
1112,Legisladores,1,Hombre,2,25 to 34 years,20193,2019-Q3,2
1112,Legisladores,1,Hombre,2,25 to 34 years,20194,2019-Q4,1
1112,Legisladores,1,Hombre,2,25 to 34 years,20201,2020-Q1,1
1112,Legisladores,1,Hombre,3,35 to 44 years,20192,2019-Q2,1
1112,Legisladores,1,Hombre,3,35 to 44 years,20194,2019-Q4,1
1112,Legisladores,1,Hombre,3,35 to 44 years,20201,2020-Q1,2
1112,Legisladores,1,Hombre,4,45 to 54 years,20191,2019-Q1,4
1112,Legisladores,1,Hombre,4,45 to 54 years,20192,2019-Q2,2
1112,Legisladores,1,Hombre,4,45 to 54 years,20193,2019-Q3,5
1112,Legisladores,1,Hombre,4,45 to 54 years,20194,2019-Q4,5
1112,Legisladores,1,Hombre,4,45 to 54 years,20201,2020-Q1,1
